移动央视,#genre#
cctv1,http://ott.mobaibox.com/PLTV/3/224/3221228581/index.m3u8
cctv1,http://ott.mobaibox.com/PLTV/1/224/3221227641/index.m3u8
cctv2,http://ott.mobaibox.com/PLTV/1/224/3221227708/index.m3u8
cctv3,http://ott.mobaibox.com/PLTV/1/224/3221227424/index.m3u8
cctv3,http://ott.mobaibox.com/PLTV/3/224/3221228499/index.m3u8
cctv4,http://ott.mobaibox.com/PLTV/1/224/3221227683/index.m3u8
cctv5,http://ott.mobaibox.com/PLTV/3/224/3221228502/index.m3u8
cctv5,http://ott.mobaibox.com/PLTV/3/224/3221228082/index.m3u8
cctv5+,http://ott.mobaibox.com/PLTV/1/224/3221227685/index.m3u8
cctv6,http://ott.mobaibox.com/PLTV/3/224/3221228185/index.m3u8
cctv7,http://ott.mobaibox.com/PLTV/1/224/3221227642/index.m3u8
cctv8,http://ott.mobaibox.com/PLTV/3/224/3221228578/index.m3u8
cctv8,http://ott.mobaibox.com/PLTV/1/224/3221227667/index.m3u8
cctv9,http://ott.mobaibox.com/PLTV/3/224/3221228758/index.m3u8
cctv10,http://ott.mobaibox.com/PLTV/3/224/3221228654/index.m3u8
cctv11,http://ott.mobaibox.com/PLTV/3/224/3221227720/index.m3u8
cctv12,http://ott.mobaibox.com/PLTV/3/224/3221228657/index.m3u8
cctv13,http://ott.mobaibox.com/PLTV/3/224/3221228649/index.m3u8
cctv14,http://ott.mobaibox.com/PLTV/1/224/3221227656/index.m3u8
cctv15,http://ott.mobaibox.com/PLTV/1/224/3221227723/index.m3u8
cctv16,http://ott.mobaibox.com/PLTV/3/224/3221228314/index.m3u8
cctv17,http://ott.mobaibox.com/PLTV/1/224/3221227726/index.m3u8
cctv4k,http://ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8
cctv8k,http://ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8
4k UHD,http://ott.mobaibox.com/PLTV/3/224/3221228242/index.m3u8
